pl_name,pl_masse,pl_rade,classification
TOI-4961 b,572.091133,12.895509,Gas Giant
TrES-5 b,569.06868,13.607151,Gas Giant
TOI-3593 b,565.734564,11.358293,Gas Giant
WASP-114 b,562.24127,14.757515,Gas Giant
WASP-37 b,559.3688,13.170597,Gas Giant
WASP-72 b,543.341111,15.084254,Gas Giant
Gaia-1 b,533.951724,13.215824,Gas Giant
TOI-2977 b,533.951724,13.070822,Gas Giant
TOI-3364 b,530.77344,12.310749,Gas Giant
TOI-6029 b,519.649445,12.707166,Gas Giant
HAT-P-57 b,518.0629,17.47603,Gas Giant
WASP-170 b,508.528,12.866882,Gas Giant
TOI-2337 b,508.525451,10.82684,Gas Giant
KELT-3 b,505.741425,15.898054,Gas Giant
HATS-40 b,505.3497,16.400234,Gas Giant
K2-34 b,503.840008,14.015585,Gas Giant
WASP-5 b,503.355233,12.859732,Gas Giant
KELT-2 A b,503.118137,14.760815,Gas Giant
TOI-2236 b,502.168883,14.290757,Gas Giant
XO-4 b,499.994995,14.695801,Gas Giant
K2-260 b,498.99173,18.203208,Gas Giant
WASP-65 b,491.0391,12.70544,Gas Giant
HAT-P-59 b,489.455747,12.784474,Gas Giant
WASP-178 b,487.86905,21.078317,Gas Giant
TOI-481 b,486.2799,11.519855,Gas Giant
WASP-136 b,479.922097,16.229595,Gas Giant
WASP-50 b,477.808552,13.103944,Gas Giant
TOI-4551 b,473.564326,10.091606,Gas Giant
HAT-P-53 b,470.547315,14.252548,Gas Giant
WASP-103 b,469.191613,17.45793,Gas Giant
WASP-93 b,467.2101,16.88377,Gas Giant
HATS-23 b,467.2101,21.676141,Gas Giant
WASP-12 b,466.719325,20.881159,Gas Giant
TOI-564 b,464.98529,9.592293,Gas Giant
HATS-74 A b,464.029474,11.798809,Gas Giant
HATS-67 b,460.8535,17.827332,Gas Giant
WASP-188 b,458.626391,13.742986,Gas Giant
TOI-4137 b,457.672906,13.605588,Gas Giant
TOI-1295 b,451.316338,15.330575,Gas Giant
HATS-2 b,449.722606,12.996063,Gas Giant
TOI-2886 b,444.95977,18.645167,Gas Giant
HAT-P-8 b,443.559228,15.886212,Gas Giant
K2-237 b,442.179901,17.193666,Gas Giant
HATS-77 b,436.696231,13.479796,Gas Giant
TOI-3523 A b,435.424918,16.469449,Gas Giant
HAT-P-50 b,430.500735,14.399108,Gas Giant
WASP-91 b,425.8922,11.748385,Gas Giant
HATS-17 b,425.25654,9.195577,Gas Giant
KELT-7 b,424.30305,17.640932,Gas Giant
WASP-97 b,424.085963,13.102458,Gas Giant
CoRoT-13 b,418.57623,11.601673,Gas Giant
HATS-4 b,418.255235,11.924832,Gas Giant
KELT-17 b,416.3573,17.077513,Gas Giant
DS Tuc A b,413.179,5.835256,Other/Unknown
K2-113 b,410.0007,11.852054,Gas Giant
HATS-68 b,410.0007,15.142125,Gas Giant
Kepler-428 b,405.2262,11.637773,Gas Giant
WASP-104 b,403.63572,12.704206,Gas Giant
WASP-197 b,403.324248,14.383909,Gas Giant
Qatar-1 b,402.741132,12.949631,Gas Giant
WASP-85 A b,402.05495,11.67479,Gas Giant
WASP-95 b,399.824173,13.653203,Gas Giant
TrES-2 b,398.615231,13.656606,Gas Giant
TOI-4487 A b,397.285509,13.864551,Gas Giant
TOI-3464 b,397.285509,13.125714,Gas Giant
WASP-64 b,396.007715,14.40613,Gas Giant
KELT-14 b,394.1092,17.931356,Gas Giant
TOI-2346 b,394.107225,15.497757,Gas Giant
WASP-130 b,390.9309,10.500605,Gas Giant
WASP-119 b,390.9309,14.772105,Gas Giant
HATS-35 b,388.38826,16.034638,Gas Giant
TOI-163 b,387.7526,15.658136,Gas Giant
WASP-138 b,387.7526,13.233905,Gas Giant
WASP-82 b,387.746767,18.634503,Gas Giant
WASP-4 b,385.907475,15.184552,Gas Giant
WTS-2 b,379.80685,15.277867,Gas Giant
HATS-33 b,378.85336,13.213128,Gas Giant
Qatar-9 b,378.2177,12.338641,Gas Giant
TOI-3160 A b,378.215804,14.543964,Gas Giant
HAT-P-37 b,377.047233,13.055347,Gas Giant
TOI-1181 b,375.585737,16.125864,Gas Giant
KELT-18 b,375.0394,17.862415,Gas Giant
TOI-157 b,375.0394,13.929022,Gas Giant
WASP-194 b,373.13055,14.657901,Gas Giant
HD 2685 b,371.8611,16.61808,Gas Giant
WASP-121 b,371.859864,20.21287,Gas Giant
TOI-6016 b,371.859236,14.322578,Gas Giant
WASP-133 b,368.6828,13.873865,Gas Giant
TOI-2969 b,368.680952,12.331239,Gas Giant
TOI-4153 b,365.502668,16.390874,Gas Giant
WASP-47 b,363.684322,12.482717,Gas Giant
HD 189733 b,362.496274,12.975174,Gas Giant
WASP-19 b,361.132178,15.62017,Gas Giant
TOI-1855 b,360.099585,19.041209,Gas Giant
WASP-24 b,355.903248,14.943129,Gas Giant
HAT-P-6 b,355.543442,15.391869,Gas Giant
CoRoT-19 b,355.436117,13.937886,Gas Giant
TOI-4379 b,353.743017,16.605718,Gas Giant
KELT-15 b,352.7913,17.23507,Gas Giant
TOI-3819 b,352.789532,13.032116,Gas Giant
TOI-1601 b,350.82585,14.232358,Gas Giant
TOI-858 B b,349.611248,14.063958,Gas Giant
CoRoT-35 b,349.611248,18.831088,Gas Giant
CoRoT-1 b,348.97436,17.734849,Gas Giant
XO-5 b,348.548288,12.41804,Gas Giant
KPS-1 b,346.4347,10.872585,Gas Giant
WASP-171 b,344.52772,11.17986,Gas Giant
TOI-5205 b,343.0,11.35625,Gas Giant
WASP-75 b,340.545795,14.125288,Gas Giant
HATS-14 b,340.0781,11.8091,Gas Giant
HAT-P-61 b,335.944626,10.725059,Gas Giant
TOI-6130 b,333.719827,14.445698,Gas Giant
OGLE-TR-182 b,332.657633,15.20682,Gas Giant
TOI-6383 A b,331.0,11.35045,Gas Giant
TOI-5181 A b,330.541543,13.190848,Gas Giant
TOI-2169 A b,329.588058,11.473361,Gas Giant
WASP-7 b,329.112965,13.743376,Gas Giant
HATS-58 A b,327.3649,11.140951,Gas Giant
TOI-3135 b,327.363259,13.314169,Gas Giant
HAT-P-5 b,327.36245,13.885404,Gas Giant
TOI-3693 b,324.184975,12.748147,Gas Giant
HD 202772 A b,323.23311,21.152053,Gas Giant
Kepler-643 b,321.0083,11.090251,Gas Giant
TOI-1130 c,319.887494,14.217874,Gas Giant
WASP-45 b,318.844294,11.905242,Gas Giant
WASP-190 b,317.83,13.575525,Gas Giant
WASP-129 b,317.83,11.78353,Gas Giant
WASP-68 b,316.449903,13.986919,Gas Giant
WASP-26 b,315.029923,14.158039,Gas Giant
WASP-149 b,314.967951,15.282453,Gas Giant
WASP-175 b,314.6517,13.446436,Gas Giant
WASP-185 b,311.4734,14.245236,Gas Giant
TOI-3688 A b,311.471839,13.190262,Gas Giant
TOI-2803 A b,309.882697,17.783006,Gas Giant
TOI-1811 b,308.929212,11.431613,Gas Giant
TOI-4794 b,308.293555,14.048602,Gas Giant
HAT-P-42 b,305.7457,13.766233,Gas Giant
HATS-63 b,305.1168,13.023766,Gas Giant
HATS-64 b,305.1168,17.390943,Gas Giant
TOI-4377 b,304.161786,14.73649,Gas Giant
KELT-12 b,301.9385,17.67596,Gas Giant
TOI-892 b,301.937743,12.006913,Gas Giant
HATS-34 b,299.07803,14.557871,Gas Giant
TOI-2202 b,299.076531,11.215883,Gas Giant
WASP-48 b,298.83029,17.779053,Gas Giant
KELT-23 A b,298.12454,14.758754,Gas Giant
WASP-16 b,297.603516,12.356668,Gas Giant
Kepler-412 b,297.378813,13.488166,Gas Giant
NGTS-8 b,295.5819,11.821007,Gas Giant
TOI-2420 b,294.626933,13.422617,Gas Giant
WASP-41 b,294.180928,13.236987,Gas Giant
K2-115 b,293.991946,11.641615,Gas Giant
HATS-55 b,292.72143,13.062479,Gas Giant
HATS-32 b,292.4036,13.032921,Gas Giant
TOI-2154 b,292.402134,16.170676,Gas Giant
WASP-58 b,292.294757,15.07325,Gas Giant
WASP-78 b,292.162303,20.077724,Gas Giant
WASP-76 b,288.588682,20.982511,Gas Giant
WASP-28 b,287.821769,14.051452,Gas Giant
KELT-4 A b,286.364113,18.972527,Gas Giant
XO-1 b,286.272221,13.732649,Gas Giant
WASP-180 A b,286.047,14.90773,Gas Giant
WASP-123 b,285.72917,14.603681,Gas Giant
TOI-5592 b,285.727738,15.53027,Gas Giant
CoRoT-12 b,285.408313,16.047675,Gas Giant
HAT-P-41 b,284.852388,19.578231,Gas Giant
WASP-2 b,283.596162,11.850495,Gas Giant
WASP-145 A b,282.8687,10.29633,Gas Giant
WASP-1 b,282.681284,17.386494,Gas Giant
HAT-P-13 b,280.269368,15.514943,Gas Giant
WASP-23 b,280.161285,11.452737,Gas Giant
HATS-31 b,279.6904,16.357718,Gas Giant
WASP-44 b,278.416113,12.22545,Gas Giant
HAT-P-45 b,278.4129,16.292089,Gas Giant
WASP-155 b,276.828543,13.434638,Gas Giant
WASP-98 b,275.4497,12.534472,Gas Giant
TOI-1478 b,275.081164,12.07245,Gas Giant
WASP-59 b,273.647408,9.397365,Gas Giant
WASP-74 b,273.3338,16.068856,Gas Giant
K2-238 b,273.3338,14.5717,Gas Giant
WASP-79 b,272.885167,19.02158,Gas Giant
WASP-176 b,271.74465,16.066602,Gas Giant
TOI-3894 b,270.154146,15.002845,Gas Giant
TOI-5340 b,270.154146,14.34799,Gas Giant
WASP-142 b,266.9772,17.388255,Gas Giant
K2-107 b,266.9772,15.188745,Gas Giant
TOI-2107 b,263.797578,13.878538,Gas Giant
HATS-9 b,262.315693,13.746908,Gas Giant
HATS-65 b,260.93843,16.299749,Gas Giant
TOI-2570 b,260.619294,13.855656,Gas Giant
TOI-2158 b,260.619294,10.779711,Gas Giant
OGLE-TR-211 b,260.615967,14.511839,Gas Giant
HAT-P-52 b,259.826025,11.110154,Gas Giant
Gaia-2 b,259.665809,14.771372,Gas Giant
NGTS-1 b,258.07796,12.760709,Gas Giant
HATS-59 b,256.17098,12.998267,Gas Giant
WASP-92 b,255.85315,14.893073,Gas Giant
WASP-187 b,254.264,18.21193,Gas Giant
TOI-2031 A b,254.262726,13.901672,Gas Giant
TOI-6034 b,254.0,12.032543,Gas Giant
KELT-8 b,252.67485,20.226477,Gas Giant
HAT-P-32 b,252.672883,20.390904,Gas Giant
TOI-169 b,251.40353,11.613252,Gas Giant
HAT-P-66 b,248.86089,16.736055,Gas Giant
HAT-P-29 b,246.252536,12.300869,Gas Giant
HATS-51 b,244.09344,14.407864,Gas Giant
NGTS-17 b,242.820903,13.899136,Gas Giant
HAT-P-62 b,241.867418,12.403801,Gas Giant
TrES-1 b,241.546268,12.269265,Gas Giant
HATS-54 b,240.437795,11.298273,Gas Giant
NGTS-15 b,238.689134,12.329879,Gas Giant
HAT-P-30 b,238.11641,15.728453,Gas Giant
HAT-P-33 b,237.734225,19.536531,Gas Giant
HAT-P-9 b,237.608228,15.667843,Gas Giant
NGTS-2 b,235.1942,18.213328,Gas Giant
TOI-6628 b,235.193021,10.445596,Gas Giant
TOI-2382 b,235.193021,12.511195,Gas Giant
Qatar-10 b,233.92288,18.174544,Gas Giant
TOI-4087 b,232.014737,13.474427,Gas Giant
WASP-81 b,231.69807,15.285913,Gas Giant
TOI-640 b,230.426296,19.636462,Gas Giant
HAT-P-68 b,230.10892,12.860967,Gas Giant
CoRoT-4 b,228.199407,13.279636,Gas Giant
TOI-2714 b,228.0,13.32195,Gas Giant
TOI-4914 b,227.0,12.7377,Gas Giant
HAT-P-24 b,226.165918,14.532702,Gas Giant
WASP-35 b,225.762043,14.756384,Gas Giant
TOI-2818 b,225.658169,14.75302,Gas Giant
XO-7 b,225.499819,15.42462,Gas Giant
HATS-30 b,224.38798,14.0439,Gas Giant
TOI-7149 b,224.0,12.2303,Gas Giant
HATS-45 b,222.481,14.157505,Gas Giant
TOI-1789 b,222.479885,14.266516,Gas Giant
HAT-P-43 b,221.20545,14.206857,Gas Giant
WASP-84 b,219.872058,10.970692,Gas Giant
TOI-3714 b,218.13623,11.348529,Gas Giant
CoRoT-36 b,216.123317,15.804663,Gas Giant
KELT-10 b,215.964943,15.337136,Gas Giant
Qatar-6 b,214.693621,12.602944,Gas Giant
HATS-28 b,213.58176,13.415017,Gas Giant
K2-29 b,213.422845,12.045879,Gas Giant
TOI-905 b,211.99261,13.528737,Gas Giant
NGTS-16 b,211.991547,14.571675,Gas Giant
TOI-1899 b,211.356416,12.056631,Gas Giant
TOI-3235 b,211.355891,11.206617,Gas Giant
Kepler-15 b,210.71869,11.987795,Gas Giant
HATS-60 b,210.40346,11.710589,Gas Giant
WASP-165 b,209.13214,14.200479,Gas Giant
Kepler-6 b,207.93796,13.285552,Gas Giant
WASP-57 b,207.54007,11.676669,Gas Giant
TIC 257060897 b,207.224121,17.173256,Gas Giant
HATS-29 b,207.065727,13.482221,Gas Giant
HAT-P-4 b,206.905426,14.74259,Gas Giant
HATS-26 b,206.5895,18.711871,Gas Giant
TOI-2184 b,206.588465,12.408568,Gas Giant
TOI-2368 b,206.588465,11.155873,Gas Giant
Kepler-423 b,203.511993,13.136271,Gas Giant
TOI-2207 b,203.41018,11.061931,Gas Giant
V1298 Tau b,203.41018,9.937349,Gas Giant
TOI-2524 b,203.41018,12.18509,Gas Giant
WASP-116 b,203.41018,14.608628,Gas Giant
NGTS-25 b,203.092352,11.466787,Gas Giant
HAT-P-27 b,200.864093,11.353203,Gas Giant
HAT-P-28 b,200.705355,13.175748,Gas Giant
HATS-39 b,200.2329,18.377626,Gas Giant
WASP-90 b,200.2329,17.489521,Gas Giant
TOI-2580 b,200.231896,17.87866,Gas Giant
WASP-154 b,198.960583,10.922061,Gas Giant
WASP-102 b,197.689269,14.952572,Gas Giant
TOI-3023 b,197.053612,16.344533,Gas Giant
