pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,disc_year,discoverymethod,hostname
GJ 9827 d,3.511428571428571,2.009875,6.2015886,642.6542857142857,29.661,2017.0,Transit,GJ 9827
Gliese 12 b,6.9350000000000005,0.9428587566666667,12.761432861443334,309.7033333333333,12.21,2024.0,Transit,Gliese 12
HAT-P-11 b,26.0146736,4.77072023076923,4.88781461375,818.8888888888889,37.7647,2008.0,Transit,HAT-P-11
HAT-P-12 b,66.22995316666668,11.362742392857143,3.212803775,955.6666666666666,142.751,2009.0,Transit,HAT-P-12
HAT-P-15 b,625.95964,11.3716811175,10.863158119875001,833.095,192.516,2010.0,Transit,HAT-P-15
HAT-P-17 b,177.2668775,11.571110000000001,10.338525231428573,847.5,92.3831,2010.0,Transit,HAT-P-17
HAT-P-18 b,61.6583925,10.912714375,5.5080258474955555,820.35,161.4,2010.0,Transit,HAT-P-18
HAT-P-19 b,90.36806291333335,12.0551666875,4.0087875479425,968.52,202.078,2010.0,Transit,HAT-P-19
HAT-P-2 b,2931.959143114,12.355027444444444,5.6313678625,1505.2,127.774,2007.0,Transit,HAT-P-2
HAT-P-20 b,2305.8889799999997,10.3617056,2.8780601753333332,972.8,71.0374,2010.0,Transit,HAT-P-20
HAT-P-21 b,1366.9687333333334,11.9557265,4.124483101428572,1286.0,277.278,2010.0,Transit,HAT-P-21
HAT-P-22 b,703.7767283333333,12.354155,3.212228493,1305.5,81.7647,2010.0,Transit,HAT-P-22
HAT-P-26 b,19.969995,6.830323126666666,4.23446995149875,970.855,141.837,2010.0,Transit,HAT-P-26
HAT-P-27 b,200.86409333333333,11.3532029275,3.03951835074125,1091.99,199.173,2011.0,Transit,HAT-P-27
HAT-P-29 b,246.25253600000002,12.300868946,5.7233892659,1231.74,313.576,2011.0,Transit,HAT-P-29
HAT-P-3 b,191.61082,10.086876,2.8997304106666664,1125.25,134.554,2007.0,Transit,HAT-P-3
HAT-P-31 b,700.41063,12.45822319,5.005345312925,1391.6599999999999,344.05,2011.0,Transit,HAT-P-31
HAT-P-38 b,84.85880499999999,9.57838976,4.640314927434285,1044.51,255.206,2012.0,Transit,HAT-P-38
HAT-P-52 b,259.82602499999996,11.110154,2.7535969885714286,1150.0,361.15500000000003,2015.0,Transit,HAT-P-52
HAT-P-61 b,335.9446262,10.725058789999999,1.90240803646,1462.155,338.84,2021.0,Transit,HAT-P-61
HAT-P-62 b,241.86741773,12.403801014999999,2.6452862151566667,1467.77,348.815,2021.0,Transit,HAT-P-62
HATS-10 b,176.55456500000003,11.422033546666666,3.312834035145,1389.385,534.889,2015.0,Transit,HATS-10
HATS-12 b,758.02455,10.123409506666667,3.1428552799500005,1595.756666666667,746.138,2016.0,Transit,HATS-12
HATS-14 b,340.0781,11.8091002175,2.7667620283049996,1242.7849999999999,513.011,2015.0,Transit,HATS-14
HATS-17 b,425.25654,9.195576500000001,16.25465564,800.5,400.331,2016.0,Transit,HATS-17
HATS-22 b,870.8542,11.38598875,4.72281550956,843.2,229.518,2017.0,Transit,HATS-22
HATS-37 A b,31.46517,6.792654,4.3315366,1085.0,211.896,2020.0,Transit,HATS-37 A
HATS-38 b,23.51942,6.673051259999999,4.374841460123333,1224.105,343.5249999999999,2020.0,Transit,HATS-38
HATS-4 b,418.25523499999997,11.924831596666666,2.516727523667143,1277.525,416.459,2014.0,Transit,HATS-4
HATS-44 b,177.9848,11.944620910000001,2.743901147386667,1114.04,446.035,2018.0,Transit,HATS-44
HATS-46 b,54.98459,10.33615962,4.742371280236,1012.315,453.808,2018.0,Transit,HATS-46
HATS-48 A b,77.23269,9.23335956,3.1316686262099998,922.5799999999999,263.609,2020.0,Transit,HATS-48 A
HATS-49 b,112.19399,8.601712724999999,4.147541311675,810.76,324.413,2020.0,Transit,HATS-49
HATS-5 b,75.48327,10.221763766666667,4.7633895103085715,981.685,246.384,2014.0,Transit,HATS-5
HATS-54 b,240.437795235,11.298272803333333,2.544171,1451.6666666666667,748.585,2019.0,Transit,HATS-54
HATS-58 A b,327.3649,11.140950895,4.2180780189,1424.5349999999999,403.591,2019.0,Transit,HATS-58 A
HATS-6 b,101.38777,11.345241309999999,3.3252691600183333,690.885,169.318,2015.0,Transit,HATS-6
HATS-60 b,210.40346,11.7105885,3.5608178,1459.0,486.474,2018.0,Transit,HATS-60
HATS-61 b,1080.622,11.6732625,7.818009466666666,1175.55,679.761,2018.0,Transit,HATS-61
HATS-62 b,56.89157,11.819902240000001,3.276997743805,1185.655,523.067,2018.0,Transit,HATS-62
HATS-69 b,183.38791,10.342561955,2.2252048203449997,1241.85,414.537,2018.0,Transit,HATS-69
HATS-7 b,38.616344999999995,6.01445632,3.185314879812,1028.38,240.70699999999997,2015.0,Transit,HATS-7
HATS-71 b,117.5971,10.902088975,3.7955189709525,556.37,140.225,2020.0,Transit,HATS-71
HATS-72 b,39.855882,8.7938258,7.3279481,718.15,127.589,2020.0,Transit,HATS-72
HATS-74 A b,464.02947422,11.79880868,1.7318544998249998,836.61,299.389,2021.0,Transit,HATS-74 A
