pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,disc_year,discoverymethod,hostname,density
HAT-P-14 b,775.2285514285714,13.711682714285715,4.627666541666667,1596.75,222.663,2010.0,Transit,HAT-P-14,0.3007166631479732
HAT-P-15 b,625.95964,11.3716811175,10.863158119875001,833.095,192.516,2010.0,Transit,HAT-P-15,0.42566928481184185
HAT-P-17 b,177.2668775,11.571110000000001,10.338525231428573,847.5,92.3831,2010.0,Transit,HAT-P-17,0.11442015406856942
HAT-P-18 b,61.6583925,10.912714375,5.5080258474955555,820.35,161.4,2010.0,Transit,HAT-P-18,0.04744536948708145
HAT-P-19 b,90.36806291333335,12.0551666875,4.0087875479425,968.52,202.078,2010.0,Transit,HAT-P-19,0.051581659911695894
HAT-P-22 b,703.7767283333333,12.354155,3.212228493,1305.5,81.7647,2010.0,Transit,HAT-P-22,0.37324651757485033
HAT-P-23 b,607.7038,14.344501618333334,1.2128873528250002,1953.8866666666665,364.813,2010.0,Transit,HAT-P-23,0.20589014550595436
HAT-P-24 b,226.165918,14.53270188,3.35524413341625,1583.48,415.34399999999994,2010.0,Transit,HAT-P-24,0.07368652325547738
HAT-P-25 b,180.41896,13.01685634,3.6528201309787502,1159.8766666666668,300.384,2010.0,Transit,HAT-P-25,0.08180198449196217
HAT-P-26 b,19.969995,6.830323126666666,4.23446995149875,970.855,141.837,2010.0,Transit,HAT-P-26,0.06266920814981196
HAT-P-27 b,200.86409333333333,11.3532029275,3.03951835074125,1091.99,199.173,2011.0,Transit,HAT-P-27,0.13726098377022222
HAT-P-28 b,200.705355,13.175748036666667,3.25724913233,1310.88,401.319,2011.0,Transit,HAT-P-28,0.08774716960973196
HAT-P-29 b,246.25253600000002,12.300868946,5.7233892659,1231.74,313.576,2011.0,Transit,HAT-P-29,0.13230411044487103
HAT-P-3 b,191.61082,10.086876,2.8997304106666664,1125.25,134.554,2007.0,Transit,HAT-P-3,0.1867024355832915
HAT-P-30 b,238.11641,15.72845347,2.81060047277,1604.345,213.98500000000004,2011.0,Transit,HAT-P-30,0.06119715892803045
HAT-P-31 b,700.41063,12.45822319,5.005345312925,1391.6599999999999,344.05,2011.0,Transit,HAT-P-31,0.36222999309303344
HAT-P-32 b,252.67288333333332,20.390904204285714,2.1500067333972726,1769.2150000000001,289.205,2011.0,Transit,HAT-P-32,0.029802258899451053
HAT-P-33 b,237.73422499999998,19.536531,3.47447523625,1785.5,396.11,2011.0,Transit,HAT-P-33,0.03188227887370038
HAT-P-36 b,574.0604526666667,14.40549542857143,1.3273472502727273,1781.834,294.419,2011.0,Transit,HAT-P-36,0.19203174668855882
HAT-P-37 b,377.0472333333334,13.0553474575,2.797445885134285,1210.17,390.594,2011.0,Transit,HAT-P-37,0.16944566176262907
HAT-P-38 b,84.85880499999999,9.57838976,4.640314927434285,1044.51,255.206,2012.0,Transit,HAT-P-38,0.09656492244593917
HAT-P-39 b,185.608635,18.11287157,3.5438717278225003,1719.665,697.004,2012.0,Transit,HAT-P-39,0.031234621936862272
HAT-P-4 b,206.9054257142857,14.742590285714286,3.0565065209090907,1697.3333333333333,320.451,2007.0,Transit,HAT-P-4,0.06457292970038572
HAT-P-40 b,177.55821,18.4631014975,4.457217738758572,1709.495,464.469,2012.0,Transit,HAT-P-40,0.028211539533651384
HAT-P-41 b,284.85238749999996,19.578231096,2.6940464507414283,1870.875,348.185,2012.0,Transit,HAT-P-41,0.03795766708208642
HAT-P-42 b,305.7457,13.766233100000001,4.641852357658571,1366.185,405.238,2012.0,Transit,HAT-P-42,0.11719659679128878
HAT-P-43 b,221.20544999999998,14.20685725,3.3326779925,1348.3333333333333,528.825,2012.0,Transit,HAT-P-43,0.07714393230831966
HAT-P-44 b,111.871,14.645199999999999,4.301195955,1067.5,347.8500000000001,2014.0,Transit,HAT-P-44,0.03561488934950097
HAT-P-45 b,278.41290000000004,16.29208905,3.129001862025,1552.3049999999998,298.64,2014.0,Transit,HAT-P-45,0.06438119424546214
HAT-P-46 b,156.684,13.892720125,4.463040579236,1509.81,290.736,2014.0,Transit,HAT-P-46,0.05843361972496037
HAT-P-49 b,603.8693666666667,16.73718175,2.69155062875,2199.0,350.351,2014.0,Transit,HAT-P-49,0.12879411005413968
HAT-P-5 b,327.36245,13.885404244999998,2.788480211599,1458.2,303.336,2007.0,Transit,HAT-P-5,0.12227939427891509
HAT-P-50 b,430.50073499999996,14.399107903333332,3.1220094935642857,1795.13,515.458,2015.0,Transit,HAT-P-50,0.1442006236372495
HAT-P-51 b,98.20930698333332,14.0477433775,4.218130472133333,1143.9533333333334,440.089,2015.0,Transit,HAT-P-51,0.03542688368716
HAT-P-52 b,259.82602499999996,11.110154,2.7535969885714286,1150.0,361.15500000000003,2015.0,Transit,HAT-P-52,0.1894621288109648
HAT-P-53 b,470.547315,14.252548480000002,1.9616531477783334,1669.05,666.802,2015.0,Transit,HAT-P-53,0.16252707477692543
HAT-P-55 b,186.24806352333334,13.9704873275,3.58523702284125,1304.51,511.388,2015.0,Transit,HAT-P-55,0.06830572397549994
HAT-P-56 b,676.9779,17.05233239857143,2.7908488469736366,1772.67,320.639,2015.0,Transit,HAT-P-56,0.13652843821712884
HAT-P-57 b,518.0629,17.47603030666667,2.4652729162340004,2021.5,279.86,2015.0,Transit,HAT-P-57,0.09706309263687042
HAT-P-58 b,118.2321674,14.942420585,4.013747916260001,1506.79,515.59,2021.0,Transit,HAT-P-58,0.03543829197596732
HAT-P-59 b,489.45574678,12.784474275,4.14197805253,1230.395,265.471,2021.0,Transit,HAT-P-59,0.23424202356525547
HAT-P-6 b,355.5434416666667,15.391869166666666,3.85299413,1661.0,275.358,2007.0,Transit,HAT-P-6,0.09750313566360624
HAT-P-60 b,182.43350562,18.312323759999998,4.7947829,1673.0,233.22,2021.0,Transit,HAT-P-60,0.02970805570038057
HAT-P-61 b,335.9446262,10.725058789999999,1.90240803646,1462.155,338.84,2021.0,Transit,HAT-P-61,0.2723131751608959
HAT-P-62 b,241.86741773,12.403801014999999,2.6452862151566667,1467.77,348.815,2021.0,Transit,HAT-P-62,0.12673979381602593
HAT-P-63 b,195.1466419,13.083391554999999,3.377734962525,1177.9450000000002,403.458,2021.0,Transit,HAT-P-63,0.08713649069366482
HAT-P-64 b,184.34047606,18.625147065,4.007232733333333,1715.0,651.897,2021.0,Transit,HAT-P-64,0.02853130082088244
HAT-P-65 b,171.78667374,19.032349276666665,2.6054131634420004,1825.86,738.519,2016.0,Transit,HAT-P-65,0.02491794788349599
HAT-P-66 b,248.86089,16.736055,2.97208542,1872.0,935.4559999999999,2016.0,Transit,HAT-P-66,0.053088122527521694
HAT-P-68 b,230.10892,12.86096744,2.2984056162499997,995.7149999999999,202.15199999999996,2020.0,Transit,HAT-P-68,0.10817142175217562
HAT-P-69 b,1137.8314,18.398742,4.78696026,1931.5,341.263,2019.0,Transit,HAT-P-69,0.18268947431930702
