pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,discoverymethod,disc_year,hostname
HD 24040 b,,,3490.0,,46.6224,Radial Velocity,2006,HD 24040
HD 183263 b,,,625.1,,54.1955,Radial Velocity,2004,HD 183263
HD 183263 c,,,4684.0,,54.1955,Radial Velocity,2008,HD 183263
HD 187123 b,,,3.0965886,,45.9548,Radial Velocity,1998,HD 187123
HD 187123 c,,,3324.0,,45.9548,Radial Velocity,2008,HD 187123
HD 217107 b,,,7.126846,,20.0619,Radial Velocity,1998,HD 217107
HD 27894 c,,,36.07,,43.8214,Radial Velocity,2017,HD 27894
HD 27894 d,,,5174.0,,43.8214,Radial Velocity,2017,HD 27894
K2-25 b,,,3.4843,,44.9565,Transit,2015,K2-25
HD 3167 b,,1.8,0.959628,,47.2899,Transit,2016,HD 3167
HD 3167 c,,3.0,29.839835,,47.2899,Transit,2016,HD 3167
HD 3167 b,,1.62377492,0.959665,,47.2899,Transit,2016,HD 3167
WASP-39 b,,,,1117.0,213.982,Transit,2011,WASP-39
HAT-P-11 c,,,3407.0,,37.7647,Radial Velocity,2018,HAT-P-11
HAT-P-11 b,,4.36,4.887802443,,37.7647,Transit,2008,HAT-P-11
HAT-P-11 b,,4.737,,,37.7647,Transit,2008,HAT-P-11
GJ 832 b,,,3416.0,,4.96435,Radial Velocity,2008,GJ 832
HAT-P-11 b,28.6047,4.81987,4.88782,,37.7647,Transit,2008,HAT-P-11
HD 17156 b,1115.5833,12.3299,21.21663,,78.0863,Radial Velocity,2007,HD 17156
WASP-17 b,247.9074,20.96083,3.73543,,405.908,Transit,2009,WASP-17
WASP-62 b,165.2716,14.79588,4.41195,,175.631,Transit,2012,WASP-62
KELT-7 b,441.7837,17.9344,2.73477,,136.681,Transit,2015,KELT-7
HD 11506 b,,,1405.0,,51.261,Radial Velocity,2007,HD 11506
HD 12661 b,,,262.70862,,37.8478,Radial Velocity,2000,HD 12661
HD 156279 b,,,131.05,,36.1945,Radial Velocity,2011,HD 156279
HD 183263 b,,,626.51599,,54.1955,Radial Velocity,2004,HD 183263
HD 217107 b,,,7.12682,,20.0619,Radial Velocity,1998,HD 217107
HD 66428 b,,,1973.0,,53.2817,Radial Velocity,2005,HD 66428
HD 68988 b,,,6.27711,,60.8447,Radial Velocity,2001,HD 68988
HD 72659 b,,,3658.0,,51.8949,Radial Velocity,2002,HD 72659
HD 24040 b,,,3668.0,,46.6224,Radial Velocity,2006,HD 24040
HD 17156 b,,,21.2167,,78.0863,Radial Velocity,2007,HD 17156
HAT-P-1 b,,,4.4652934,,158.979,Transit,2006,HAT-P-1
HD 11506 b,,,1622.1,,51.261,Radial Velocity,2007,HD 11506
HD 27894 b,,,17.9904,,43.8214,Radial Velocity,2005,HD 27894
