pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,discoverymethod,disc_year,hostname
Kepler-1104 b,,1.646,,,530.658,Transit,2016,Kepler-1104
K2-114 b,,11.1,11.391432,,475.758,Transit,2017,K2-114
K2-182 b,,2.9,4.736834,,154.83,Transit,2018,K2-182
Kepler-235 b,,2.496,,,428.018,Transit,2014,Kepler-235
Kepler-1360 b,,,40.52877599,,1516.27,Transit,2016,Kepler-1360
Kepler-1645 b,,,16.1782317601,,1202.47,Transit,2016,Kepler-1645
TOI-4961 b,572.0911326,12.34108775,7.479182,919.0,213.073,Transit,2025,TOI-4961
Kepler-33 f,,3.92,41.0283424,691.0,1209.16,Transit,2011,Kepler-33
Kepler-407 b,,,0.6693123866,,338.368,Transit,2014,Kepler-407
Kepler-987 b,,3.54,105.3033148,394.0,914.126,Transit,2016,Kepler-987
Kepler-1305 b,,,13.5631157,,1575.23,Transit,2016,Kepler-1305
Kepler-584 b,,4.0,35.18112,647.0,1848.84,Transit,2016,Kepler-584
OGLE-2015-BLG-0966L b,21.0,,,,3300.0,Microlensing,2016,OGLE-2015-BLG-0966L
Kepler-532 b,,2.428,12.92491623,,312.798,Transit,2016,Kepler-532
Kepler-841 b,,,124.4197175,,998.961,Transit,2016,Kepler-841
Kepler-170 b,,,7.930583519,,738.657,Transit,2014,Kepler-170
Kepler-144 b,,1.311,,,384.917,Transit,2014,Kepler-144
K2-419 A b,,10.50799334,20.35507390682,350.82,268.685,Transit,2024,K2-419 A
Kepler-1044 b,,2.61,6.77408868,1064.0,1278.96,Transit,2016,Kepler-1044
Kepler-18 c,,4.295,,,433.047,Transit,2011,Kepler-18
Kepler-1093 c,,,89.7224125,,1072.88,Transit,2016,Kepler-1093
LHS 1140 b,6.98,1.727,24.736959,235.0,14.9861,Transit,2017,LHS 1140
Kepler-1867 b,,0.67,9.88736112,770.0,680.583,Transit,2021,Kepler-1867
WASP-136 b,479.92089457,15.46839337,5.215357,,275.587,Transit,2016,WASP-136
Kepler-511 c,,,26.6294395,,651.999,Transit,2021,Kepler-511
Kepler-918 b,,1.626,,,1025.03,Transit,2016,Kepler-918
Kepler-66 b,,2.81,17.81595067,699.0,1202.96,Transit,2013,Kepler-66
GJ 9827 c,,1.36,3.64802,721.9,29.661,Transit,2017,GJ 9827
Kepler-1746 b,,7.25,321.2124365,310.0,979.541,Transit,2021,Kepler-1746
Kepler-286 b,,1.37,1.796324389,1476.0,1226.85,Transit,2014,Kepler-286
Kepler-1988 b,,2.59,11.49499722,1394.0,513.426,Transit,2023,Kepler-1988
Kepler-319 b,,,4.3627583131,,503.436,Transit,2014,Kepler-319
Kepler-106 c,,2.41,13.57076622,,444.322,Transit,2014,Kepler-106
Kepler-1253 b,,1.788,,,514.524,Transit,2016,Kepler-1253
Kepler-358 b,,2.91,34.0607631,554.0,1101.1,Transit,2014,Kepler-358
WASP-60 b,,,4.305003,,431.052,Transit,2012,WASP-60
LHS 1678 d,,0.85669246,4.96520685528,462.95,19.8782,Transit,2024,LHS 1678
Kepler-958 b,,2.478,,,449.773,Transit,2016,Kepler-958
Kepler-712 b,,,21.02250694,,872.493,Transit,2016,Kepler-712
Kepler-193 b,,2.175,11.38839971,,1009.1,Transit,2014,Kepler-193
Kepler-365 c,,1.63,17.7835598,732.0,1038.99,Transit,2014,Kepler-365
Kepler-308 c,,,15.3824978415,,1335.92,Transit,2014,Kepler-308
K2-208 b,,1.75,4.19121,,256.887,Transit,2018,K2-208
Kepler-138 c,,,13.7810915,,66.8624,Transit,2014,Kepler-138
HD 65216 b,,,572.4,,35.1205,Radial Velocity,2003,HD 65216
WASP-15 b,171.6282,15.80469,3.7521,,282.091,Transit,2009,WASP-15
Kepler-20 c,,2.88,10.854097835,,282.563,Transit,2011,Kepler-20
Kepler-1141 b,,0.86,2.344511944,1490.0,393.642,Transit,2016,Kepler-1141
Kepler-1008 b,,2.83,12.43931193,927.0,282.565,Transit,2016,Kepler-1008
Kepler-150 b,,,3.42806306,,891.092,Transit,2014,Kepler-150
Kepler-128 b,,1.43,15.08960174,971.0,396.379,Transit,2013,Kepler-128
CHXR 73 b,3994.486,,,,190.374,Imaging,2006,CHXR 73
Kepler-212 b,,,16.2569459923,,687.194,Transit,2014,Kepler-212
GJ 3998 b,,,2.65033,,18.1459,Radial Velocity,2016,GJ 3998
Kepler-352 b,,,10.0553258279,,252.733,Transit,2014,Kepler-352
WASP-66 b,,,4.08605198,,500.258,Transit,2012,WASP-66
K2-266 d,,,14.6982,,77.5586,Transit,2018,K2-266
Kepler-1996 b,,1.82,32.3767,382.0,440.561,Transit,2023,Kepler-1996
Kepler-32 f,,1.697,,,323.847,Transit,2012,Kepler-32
WASP-38 b,858.1,12.3,6.9,1250.0,136.24,Transit,2010,WASP-38
Kepler-1400 b,,2.3,9.066878,729.0,752.237,Transit,2016,Kepler-1400
Kepler-607 b,,0.99,0.638163204,1876.0,519.122,Transit,2016,Kepler-607
Kepler-1200 b,,1.05,1.118549717,1182.0,588.715,Transit,2016,Kepler-1200
Kepler-296 f,,1.75,63.336,,,Transit,2014,Kepler-296
Kepler-501 b,,4.3,5.640677572,,1125.24,Transit,2016,Kepler-501
MOA-2011-BLG-028L b,30.0,,,,7380.0,Microlensing,2016,MOA-2011-BLG-028L
Kepler-587 b,,2.16,10.94027841,767.0,787.894,Transit,2016,Kepler-587
Kepler-36 b,,,13.84984567,,527.956,Transit,2012,Kepler-36
Kepler-937 b,,3.27,67.668827,495.0,1571.46,Transit,2016,Kepler-937
Kepler-216 c,,3.745,17.40665938,,1187.47,Transit,2014,Kepler-216
Kepler-284 b,,,12.699063444,,1031.95,Transit,2014,Kepler-284
Kepler-812 b,,,10.11715807,,1482.74,Transit,2016,Kepler-812
HD 8673 b,4210.59073594,,1644.69097,,37.8619,Radial Velocity,2009,HD 8673
HD 191939 d,,3.28435831,38.3511223,494.11,53.6089,Transit,2020,HD 191939
Kepler-402 c,,1.384,,,625.339,Transit,2014,Kepler-402
Kepler-62 c,4.0,0.54,12.4417,578.0,300.874,Transit,2013,Kepler-62
Oph 11 b,6674.43,,,,,Imaging,2006,Oph 11
K2-4 b,,2.37,10.00329,563.0,231.828,Transit,2015,K2-4
K2-75 b,,2.16,7.8173399,,561.93,Transit,2016,K2-75
Kepler-51 d,,11.67,130.17746603,,783.831,Transit,2014,Kepler-51
Kepler-1243 b,,1.6,16.83192,694.0,758.17,Transit,2016,Kepler-1243
TOI-4463 A b,252.35575516,13.26022417,2.8807198,1395.0,173.117,Transit,2023,TOI-4463 A
Kepler-700 b,,5.99,80.8720639,,1491.76,Transit,2016,Kepler-700
Kepler-436 c,,2.75,16.79716262,503.0,588.867,Transit,2016,Kepler-436
Kepler-969 c,,1.06,1.682934607,1270.0,390.354,Transit,2016,Kepler-969
Kepler-174 d,,,247.354914,,384.757,Transit,2014,Kepler-174
K2-193 b,,4.18,14.78708,,411.923,Transit,2018,K2-193
WASP-75 b,,15.54,2.4841981,,294.001,Transit,2013,WASP-75
Kepler-697 b,,,3.709870784,,1277.33,Transit,2016,Kepler-697
Kepler-718 b,,13.12,2.052349884,1497.0,1302.33,Transit,2016,Kepler-718
Kepler-224 c,,,5.92499091,,782.088,Transit,2014,Kepler-224
Kepler-1462 b,,,65.6491001,,1017.82,Transit,2016,Kepler-1462
Kepler-1369 b,,2.69,25.873148,,1236.56,Transit,2016,Kepler-1369
Kepler-309 c,,2.09,105.3585964,203.0,544.568,Transit,2014,Kepler-309
Kepler-776 b,,1.28,4.89718784,,727.904,Transit,2016,Kepler-776
Kepler-402 e,,1.41,11.24284,986.0,625.339,Transit,2014,Kepler-402
XO-7 b,225.34147,15.389957,2.8641424,1743.0,234.149,Transit,2019,XO-7
Kepler-1126 b,,1.58,108.593329,375.0,635.736,Transit,2016,Kepler-1126
K2-36 b,,1.32,1.42266,1232.0,109.749,Transit,2016,K2-36
Kepler-311 b,,,9.17613239,,778.654,Transit,2014,Kepler-311
HD 171028 b,,,550.0,,111.659,Radial Velocity,2007,HD 171028
Kepler-1972 b,,0.98,7.5459119,1392.0,287.339,Transit,2022,Kepler-1972
K2-74 b,,2.94,19.565086,,377.822,Transit,2016,K2-74
Kepler-578 b,,2.54,1.616883696,1536.0,541.432,Transit,2016,Kepler-578
WASP-81 b,,14.55416593,2.71612982159,1446.3,398.505,Transit,2017,WASP-81
TOI-2374 b,,8.01917,4.31362,755.0,134.655,Transit,2024,TOI-2374
Kepler-77 b,136.661,10.761,3.57878087,1440.0,639.411,Transit,2013,Kepler-77
HAT-P-30 b,,15.99522635,2.81060132493,1578.69,213.985,Transit,2011,HAT-P-30
Kepler-1314 b,,,5.42475029,,,Transit,2016,Kepler-1314
Kepler-1197 b,,1.15,2.03231845,975.0,486.94,Transit,2016,Kepler-1197
Kepler-1416 b,,0.86,1.49514952,1727.0,949.59,Transit,2016,Kepler-1416
Kepler-187 b,,1.804,4.93886507,,1143.0,Transit,2014,Kepler-187
MOA-2012-BLG-006L b,2700.0,,,,5300.0,Microlensing,2017,MOA-2012-BLG-006L
Kepler-385 c,,3.04,15.163161,,1432.61,Transit,2014,Kepler-385
Kepler-1813 b,,1.42,2.818150106,1055.0,,Transit,2021,Kepler-1813
Kepler-1452 b,,1.63,42.913751,604.0,996.32,Transit,2016,Kepler-1452
Kepler-1386 b,,1.09,6.73972381,930.0,835.882,Transit,2016,Kepler-1386
Kepler-272 d,,2.25,10.937304,,889.608,Transit,2014,Kepler-272
WASP-4 b,,15.636555,1.33823204,,267.206,Transit,2007,WASP-4
Kepler-371 c,,1.71,67.968656,443.0,813.192,Transit,2014,Kepler-371
Kepler-49 b,8.0,2.3,7.204,,311.222,Transit,2012,Kepler-49
Kepler-1346 b,,1.19,3.40165668,1236.0,843.701,Transit,2016,Kepler-1346
VHS J125601.92-125723.9 b,3559.696,,,,,Imaging,2015,VHS J125601.92-125723.9
Kepler-1963 b,,0.83,1.96227924,1448.0,492.847,Transit,2021,Kepler-1963
Kepler-1869 c,,0.82990003,1.716840029,,113.025,Transit,2023,Kepler-1869
TrES-1 b,,12.75298917,3.03007145827,1077.41,159.658,Transit,2004,TrES-1
WASP-1 b,268.88418,16.241841,2.51994529,1812.0,393.072,Transit,2007,WASP-1
K2-87 b,,7.6,9.726618,979.0,491.242,Transit,2016,K2-87
Kepler-109 c,,2.5,21.22258525,774.0,474.861,Transit,2014,Kepler-109
K2-285 b,9.68,2.59,3.471745,1088.9,154.961,Transit,2018,K2-285
K2-232 b,126.49634,11.209,11.168454,1030.0,130.72,Transit,2018,K2-232
Kepler-1650 b,,1.07,1.54,,134.397,Transit,2017,Kepler-1650
Kepler-11 b,,1.84,10.30401132,849.0,646.346,Transit,2010,Kepler-11
HATS-66 b,1694.0339,15.815899,3.1414391,1998.0,1477.98,Transit,2018,HATS-66
Kepler-1574 b,,1.29,6.9424334,,1384.16,Transit,2016,Kepler-1574
Kepler-11 d,,3.26,22.68714105,653.0,646.346,Transit,2010,Kepler-11
Kepler-501 c,,1.41,3.622714,1263.0,1125.24,Transit,2021,Kepler-501
Kepler-781 b,,2.88,13.21415,639.0,1064.47,Transit,2016,Kepler-781
Kepler-317 c,,1.72,8.77501,,940.584,Transit,2014,Kepler-317
KOI-94 c,9.4,,10.4236892,,477.052,Transit,2013,KOI-94
Kepler-50 c,,2.79,9.376137,1200.0,250.11,Transit,2012,Kepler-50
Kepler-1730 b,,4.75,13.81020094,833.0,1427.08,Transit,2021,Kepler-1730
Kepler-1106 b,,,1.252753881,,1090.7,Transit,2016,Kepler-1106
Kepler-299 d,,,15.0549356,,1052.24,Transit,2014,Kepler-299
Kepler-1138 b,,1.7,3.17060005,,872.328,Transit,2016,Kepler-1138
K2-386 b,,2.32,7.473223,,428.785,Transit,2022,K2-386
Kepler-192 c,,,21.22355695,,651.674,Transit,2014,Kepler-192
KELT-2 A b,483.717,14.4147,4.1137912,,134.058,Transit,2012,KELT-2 A
HD 63935 b,10.5,2.91575244,9.058807,825.22,48.9739,Transit,2021,HD 63935
Kepler-1048 b,,,6.9209966,,556.006,Transit,2016,Kepler-1048
Kepler-693 b,,10.18,15.37563332,,1151.51,Transit,2016,Kepler-693
Kepler-990 c,,,0.53835407,,802.163,Transit,2016,Kepler-990
Kepler-1553 b,,,4.24263096,,692.594,Transit,2016,Kepler-1553
Kepler-891 b,,5.82,53.44944498,486.0,2340.58,Transit,2016,Kepler-891
Kepler-1711 b,,1.94,21.06075647,685.0,590.268,Transit,2021,Kepler-1711
HD 284149 AB b,8352.53053596,,,2395.0,117.807,Imaging,2017,HD 284149 A
Kepler-678 b,,4.91,7.27503724,833.0,1826.15,Transit,2016,Kepler-678
Kepler-9 c,,8.106,38.90787517,,628.257,Transit,2010,Kepler-9
Kepler-814 b,,1.68,6.146918,1114.0,2055.77,Transit,2016,Kepler-814
Kepler-57 c,,46.914,11.60907117,,644.14,Transit,2012,Kepler-57
Kepler-397 b,,1.98,22.2508247,,,Transit,2014,Kepler-397
K2-174 b,,2.59,19.56325,,99.9293,Transit,2018,K2-174
Kepler-1937 b,,3.18,9.6886646,1025.0,905.069,Transit,2021,Kepler-1937
Kepler-961 b,,2.492,,,574.314,Transit,2016,Kepler-961
Kepler-541 b,,1.92,5.08005848,1212.0,1060.68,Transit,2016,Kepler-541
Kepler-1646 b,,0.95,4.48559215,365.0,127.591,Transit,2016,Kepler-1646
TOI-674 b,23.6,5.25,1.977143,635.0,46.0851,Transit,2021,TOI-674
HD 97658 b,,,9.494,,21.5618,Radial Velocity,2010,HD 97658
OGLE-TR-113 b,419.5356,12.21781,1.4324757,,566.459,Transit,2004,OGLE-TR-113
Kepler-301 b,,,2.508562122,,719.166,Transit,2014,Kepler-301
Kepler-826 b,,1.532,,,779.596,Transit,2016,Kepler-826
Kepler-666 b,,2.1,4.49876511,1133.0,1508.71,Transit,2016,Kepler-666
Kepler-1152 b,,,1.646801683,,215.233,Transit,2016,Kepler-1152
K2-3 b,,1.98,10.05448,504.0,44.0727,Transit,2015,K2-3
Kepler-338 e,,1.36,9.34131,1065.0,552.798,Transit Timing Variations,2014,Kepler-338
Kepler-1079 b,,3.14,13.24503188,1152.0,591.098,Transit,2016,Kepler-1079
Kepler-998 b,,1.88,5.65377733,1020.0,986.364,Transit,2016,Kepler-998
HD 191939 e,,,101.723,,53.6089,Radial Velocity,2022,HD 191939
KOI-1831 d,,1.13,34.2069395,474.0,501.574,Transit,2021,Kepler-324
Kepler-959 b,,3.23,14.80074836,1035.0,807.729,Transit,2016,Kepler-959
Kepler-855 b,,9.23,7.886631104,995.0,1506.58,Transit,2016,Kepler-855
Kepler-187 b,,1.26,4.93886507,1175.0,1143.0,Transit,2014,Kepler-187
HAT-P-26 b,22.2481,7.06167,4.23452,,141.837,Transit,2010,HAT-P-26
HD 5608 b,,,768.7,,58.1105,Radial Velocity,2012,HD 5608
Kepler-1245 b,,1.56,4.35409304,1043.0,805.936,Transit,2016,Kepler-1245
Kepler-569 b,,3.4,34.18896,537.0,638.301,Transit,2016,Kepler-569
TOI-1860 b,,1.31,1.0662107,1885.0,45.864,Transit,2022,TOI-1860
Kepler-636 b,,6.266,,,310.301,Transit,2016,Kepler-636
Kepler-1233 b,,2.32,45.126216,604.0,1178.7,Transit,2016,Kepler-1233
Kepler-299 e,,1.71,38.2856338,527.0,1052.24,Transit,2014,Kepler-299
K2-90 b,,2.04,13.7311,,134.188,Transit,2016,K2-90
TOI-4504 c,,11.4756331,82.929411424,182.8,342.605,Transit,2024,TOI-4504
Kepler-696 b,,6.21,4.190425659,1234.0,1416.44,Transit,2016,Kepler-696
Kepler-1490 b,,2.59,92.4362973,349.0,862.92,Transit,2016,Kepler-1490
Kepler-515 b,,1.46,19.96371318,,,Transit,2016,Kepler-515
Kepler-528 b,,,19.7829994857,,784.23,Transit,2016,Kepler-528
Kepler-309 c,,2.51,105.356383,,544.568,Transit,2014,Kepler-309
Kepler-1603 b,,1.05,2.27163926,1563.0,2712.58,Transit,2016,Kepler-1603
Kepler-923 b,,1.72,,,1000.28,Transit,2016,Kepler-923
Kepler-206 b,,1.29,7.7822,1071.0,594.447,Transit,2014,Kepler-206
Kepler-677 b,,,6.575315881,,1954.08,Transit,2016,Kepler-677
Kepler-1588 b,,0.78,7.84931739,925.0,924.141,Transit,2016,Kepler-1588
Kepler-1785 b,,3.72,19.58557219,668.0,745.74,Transit,2021,Kepler-1785
Kepler-586 b,,2.96,2.104722184,1367.0,693.766,Transit,2016,Kepler-586
Kepler-85 d,,1.2,17.91323,,765.025,Transit,2014,Kepler-85
Kepler-284 b,,2.301,,,1031.95,Transit,2014,Kepler-284
Kepler-369 b,,1.0,2.732766619,597.0,,Transit,2014,Kepler-369
Kepler-402 b,,1.22,4.028751,,625.339,Transit,2014,Kepler-402
Kepler-245 d,5.46083,,36.27612,,861.527,Transit,2014,Kepler-245
Kepler-1928 b,,2.41,19.5777657,755.0,326.362,Transit,2021,Kepler-1928
Kepler-333 c,,1.11,24.08821,,324.413,Transit,2014,Kepler-333
Kepler-1520 b,,,0.65355359,,607.917,Transit,2016,Kepler-1520
Kepler-186 c,,1.23,7.26730117,469.0,177.594,Transit,2014,Kepler-186
K2-33 b,,3.17,5.42526,,139.268,Transit,2016,K2-33
K2-152 b,,2.81,32.6527,,108.449,Transit,2018,K2-152
Kepler-368 c,,4.51,,,770.978,Transit,2014,Kepler-368
HD 180902 b,,,479.0,,104.577,Radial Velocity,2009,HD 180902
Kepler-93 b,,,4.72674002,,95.9115,Transit,2014,Kepler-93
Kepler-670 b,,13.18,2.816504852,,939.744,Transit,2016,Kepler-670
Kepler-48 d,,2.02,42.89605505,443.0,306.738,Transit,2014,Kepler-48
Kepler-485 b,,13.838,3.243259796,,1140.95,Transit,2016,Kepler-485
Kepler-851 b,,1.92,8.50699658,900.0,839.255,Transit,2016,Kepler-851
Kepler-36 c,,3.962,16.23192004,,527.956,Transit,2012,Kepler-36
K2-340 b,,,29.729,,738.136,Transit,2021,K2-340
WASP-160 B b,,,3.76849254,,288.326,Transit,2018,WASP-160 B
Kepler-717 b,,2.42,4.40840023,,2805.48,Transit,2016,Kepler-717
Kepler-286 e,,1.688,29.2215101,,1226.85,Transit,2014,Kepler-286
Kepler-1103 b,,2.02,19.79243,738.0,1331.92,Transit,2016,Kepler-1103
Kepler-267 c,,,6.877,,264.993,Transit,2014,Kepler-267
Kepler-1174 b,,1.4,6.89225223,962.0,1408.75,Transit,2016,Kepler-1174
Kepler-968 c,,1.42,5.709404918,647.0,290.324,Transit,2016,Kepler-968
Kepler-758 e,,1.53,8.1934719,,1502.32,Transit,2016,Kepler-758
Kepler-93 b,,1.629,4.726739475,,95.9115,Transit,2014,Kepler-93
Kepler-608 b,,4.0,6.41246,1064.0,946.683,Transit,2016,Kepler-608
HATS-5 b,,,4.76339,,246.384,Transit,2014,HATS-5
Kepler-117 c,808.0,,50.790346,,1455.57,Transit,2014,Kepler-117
HD 220773 b,,,3724.7,,50.5103,Radial Velocity,2011,HD 220773
Kepler-129 c,,2.4,82.2000105,521.0,408.845,Transit,2014,Kepler-129
Kepler-181 c,,2.285,,,609.283,Transit,2014,Kepler-181
KOI-13 b,,22.77,1.7635877,3320.0,519.096,Transit,2011,KOI-13
Kepler-593 b,,2.6,21.21708973,706.0,973.76,Transit,2016,Kepler-593
Kepler-572 b,,,17.20522842,,504.667,Transit,2016,Kepler-572
K2-279 b,,1.21,7.122605,879.0,182.983,Transit,2018,K2-279
Kepler-770 c,,5.88,1.475323222,2740.0,930.457,Transit,2016,Kepler-770
Kepler-290 c,,3.44,36.7704731,438.0,694.627,Transit,2014,Kepler-290
Kepler-374 d,,1.29,5.02818614,1063.0,1265.61,Transit,2014,Kepler-374
Kepler-183 c,,2.54,11.63701734,,1050.64,Transit,2014,Kepler-183
Kepler-1509 b,,1.91,25.4338197,653.0,2002.96,Transit,2016,Kepler-1509
Kepler-767 b,,,161.52811673,,2251.03,Transit,2016,Kepler-767
HD 6061 b,10.0,2.42763557,5.2549,1075.31,67.6203,Transit,2023,HD 6061
TOI-3321 b,176.07693748,15.55806521,3.6525145,1616.0,285.895,Transit,2024,TOI-3321
Kepler-625 c,,1.18,4.1653651,1202.0,760.708,Transit,2016,Kepler-625
HATS-8 b,43.86054,9.785457,3.583893,1324.0,794.637,Transit,2015,HATS-8
Kepler-167 d,,1.29,21.8038763,,341.908,Transit,2016,Kepler-167
Kepler-944 b,,,43.3167427,,1349.43,Transit,2016,Kepler-944
Kepler-1214 b,,2.36,18.82634264,,729.227,Transit,2016,Kepler-1214
Kepler-722 c,,,105.144902324,,1239.5,Transit,2016,Kepler-722
Kepler-1823 b,,,21.1032488,,724.971,Transit,2021,Kepler-1823
HD 190647 b,,,1038.09998,,54.4738,Radial Velocity,2007,HD 190647
HAT-P-36 b,587.9855,14.168176,1.327347,,294.419,Transit,2011,HAT-P-36
Kepler-541 b,,,5.0800738327,,1060.68,Transit,2016,Kepler-541
NGTS-8 b,295.5819,12.21781,2.4997,1345.0,428.976,Transit,2019,NGTS-8
Kepler-134 c,,1.63,10.105745,878.0,334.797,Transit,2014,Kepler-134
Kepler-758 b,,,12.10982274,,1502.32,Transit,2016,Kepler-758
Kepler-1194 b,,1.84,16.22371307,783.0,757.382,Transit,2016,Kepler-1194
Kepler-175 c,,3.77,34.0350559,,1312.34,Transit,2014,Kepler-175
Kepler-925 b,,2.26,33.8678531,394.0,611.115,Transit,2016,Kepler-925
Proxima Cen b,,,11.186,234.0,1.30119,Radial Velocity,2016,Proxima Cen
Kepler-1979 b,,2.8,18.50687,671.0,1076.27,Transit,2023,Kepler-1979
Kepler-171 c,,2.923,11.4634736,,863.855,Transit,2014,Kepler-171
Kepler-233 b,,,8.47238613,,856.417,Transit,2014,Kepler-233
Kepler-28 b,,2.41,5.912268297,,438.359,Transit,2011,Kepler-28
Kepler-434 b,,8.74,12.874711418,,1222.54,Transit,2015,Kepler-434
HD 132406 b,1970.5361234,,964.0,,70.7832,Radial Velocity,2007,HD 132406
Kepler-287 c,,2.881,,,835.86,Transit,2014,Kepler-287
Kepler-616 c,,3.37,90.4113556,413.0,945.775,Transit,2016,Kepler-616
KOI-12 b,349.613,13.78707,17.855182,,399.398,Transit,2015,KOI-12
Kepler-1345 b,,2.17,44.6169557,693.0,1355.02,Transit,2016,Kepler-1345
Kepler-1510 b,,,84.7068688752,,1696.25,Transit,2016,Kepler-1510
Kepler-1798 b,,1.7,16.85592593,408.0,395.196,Transit,2021,Kepler-1798
Kepler-215 b,,1.547,,,485.997,Transit,2014,Kepler-215
Kepler-1998 b,,0.61,3.03266154,1197.0,340.965,Transit,2023,Kepler-1998
GJ 849 b,,,1845.0,,8.80058,Radial Velocity,2006,GJ 849
OGLE-2014-BLG-1722L c,83.3,,,,6380.0,Microlensing,2018,OGLE-2014-BLG-1722L
Kepler-1472 b,,1.9,38.1312831,,1479.14,Transit,2016,Kepler-1472
Kepler-318 c,,5.0,11.815018,950.0,489.141,Transit,2014,Kepler-318
HD 143361 b,1382.55357045,,1042.4,,68.5146,Radial Velocity,2008,HD 143361
Kepler-172 b,,2.26,2.940304111,,828.592,Transit,2014,Kepler-172
Kepler-56 c,,,21.40569598,,912.994,Transit,2012,Kepler-56
K2-264 c,,2.668,19.660302,331.0,185.605,Transit,2018,K2-264
TIC 172900988 b,837.0,11.3,193.965,,250.956,Transit,2021,TIC 172900988 Aa
Kepler-1739 b,,1.84,7.34373964,839.0,783.666,Transit,2021,Kepler-1739
Kepler-100 c,,2.34,12.81588378,,304.645,Transit,2014,Kepler-100
Kepler-254 c,,,12.41216347,,1389.48,Transit,2014,Kepler-254
Kepler-301 b,,1.422,2.508554095,,719.166,Transit,2014,Kepler-301
Kepler-1389 b,,,99.2532336,,497.093,Transit,2016,Kepler-1389
Kepler-1290 b,,1.52,4.69500134,1098.0,1593.7,Transit,2016,Kepler-1290
Kepler-405 b,,,10.61368712,,1065.08,Transit,2014,Kepler-405
Kepler-249 b,,1.15,3.31,,190.401,Transit,2014,Kepler-249
Kepler-801 b,,,11.41926322,,440.426,Transit,2016,Kepler-801
Kepler-69 c,,1.76,242.46712,,730.625,Transit,2013,Kepler-69
Kepler-269 c,,,8.1280933,,2257.32,Transit,2014,Kepler-269
HAT-P-50 b,,,3.12200544,,515.458,Transit,2015,HAT-P-50
Kepler-93 b,,,4.7267389505,,95.9115,Transit,2014,Kepler-93
Kepler-416 d,,,3.07644709,,690.819,Transit,2023,Kepler-416
Kepler-1992 b,,0.88,15.6113,683.0,532.955,Transit,2023,Kepler-1992
Kepler-800 b,,2.85,14.13176026,,1019.26,Transit,2016,Kepler-800
Kepler-1033 b,,2.4,7.56052209,914.0,1455.5,Transit,2016,Kepler-1033
Kepler-1796 b,,2.21,29.4557154,598.0,825.883,Transit,2021,Kepler-1796
Kepler-362 b,,1.606,10.32738017,,1090.51,Transit,2014,Kepler-362
Kepler-1787 b,,2.14,39.3134832,540.0,778.602,Transit,2021,Kepler-1787
Kepler-1619 b,,0.76,23.6225913,679.0,734.85,Transit,2016,Kepler-1619
K2-19 b,,7.46,7.9194979,,289.827,Transit,2015,K2-19
Kepler-11 e,,3.89,31.99550624,582.0,646.346,Transit,2010,Kepler-11
Kepler-1540 b,,2.3,125.4131177,238.0,244.96,Transit,2016,Kepler-1540
KMT-2017-BLG-0428L b,5.63,,,,5400.0,Microlensing,2023,KMT-2017-BLG-0428L
HD 118203 b,,13.1383,6.1349783,1509.0,92.2589,Radial Velocity,2005,HD 118203
Kepler-244 d,,2.549,,,1036.49,Transit,2014,Kepler-244
HATS-28 b,,,3.1810697,,535.383,Transit,2016,HATS-28
Kepler-32 f,,0.81,0.74296,1100.0,323.847,Transit,2012,Kepler-32
HD 106315 c,15.2,4.35,21.05704,886.0,109.353,Transit,2017,HD 106315
TOI-2374 b,56.64,6.81,4.31361,885.0,134.655,Transit,2024,TOI-2374
HAT-P-26 b,18.751,6.333,4.234516,1001.0,141.837,Transit,2010,HAT-P-26
HD 43197 b,,,308.92072,,62.4112,Radial Velocity,2010,HD 43197
Kepler-40 b,,13.612,,,2305.01,Transit,2010,Kepler-40
XO-3 b,3861.6345,,,,213.053,Transit,2007,XO-3
Kepler-23 c,,3.06,10.74241765,1008.0,835.756,Transit,2011,Kepler-23
Kepler-242 b,,3.04,8.2039687,742.0,600.241,Transit,2014,Kepler-242
Kepler-959 b,,17.38,14.80075082,1912.0,807.729,Transit,2016,Kepler-959
HATS-11 b,,17.7,3.619167,,944.603,Transit,2016,HATS-11
Kepler-154 c,,2.73,62.3027873,437.0,915.212,Transit,2014,Kepler-154
Kepler-43 b,,12.1,3.024092548,1475.0,1005.84,Transit,2011,Kepler-43
Kepler-1031 b,,0.78,1.22621732,1769.0,682.882,Transit,2016,Kepler-1031
Kepler-102 e,,,16.146,,107.796,Transit,2013,Kepler-102
Kepler-96 b,,2.51211244,16.23852463176,694.46,122.881,Transit,2014,Kepler-96
K2-330 b,,2.77,13.774798,969.0,160.125,Transit,2021,K2-330
WASP-6 b,,,3.36100237,,197.119,Transit,2009,WASP-6
Kepler-124 d,,1.37,30.95053,470.0,420.046,Transit,2014,Kepler-124
Kepler-250 d,,,17.6482492968,,760.585,Transit,2014,Kepler-250
Kepler-122 d,,1.82,21.58738,674.0,1027.45,Transit,2014,Kepler-122
Kepler-269 b,,,5.32667299,,2257.32,Transit,2014,Kepler-269
Kepler-332 c,,,15.99560373,,344.19,Transit,2014,Kepler-332
Kepler-1211 b,,,11.01819178,,1826.53,Transit,2016,Kepler-1211
Kepler-49 d,,,2.576571021,,311.222,Transit,2014,Kepler-49
Kepler-328 b,,3.218,,,2213.19,Transit,2013,Kepler-328
